DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
50:48.9,-5.685,151.258,40.2,6.3,Mw,472,,,0.87,NEI,2002022840
08:07.8,36.429,70.438,209,6.3,Mb,515,,,1,NEI,2002030340
08:19.7,36.502,70.482,225.6,7.4,Mw,138,,,1.06,NEI,2002030340
16:09.1,6.033,124.249,31,7.5,Mw,321,,,0.95,NEI,2002030541
27:53.2,5.871,124.274,23.3,6,Mw,166,,,0.89,NEI,2002030840
27:11.2,-56.019,-27.332,118.4,6,Mw,168,,,0.85,NEI,2002030940
33:33.8,-45.221,35.105,10,6,Mw,71,,,1.24,NEI,2002031740
14:14.9,-6.486,129.901,148.1,6.1,Mw,257,,,0.74,NEI,2002031940
56:33.8,36.062,69.315,8,6.1,Mw,416,,,1.07,NEI,2002032540
45:48.7,23.346,124.09,33,6.4,Mw,345,,,1.04,NEI,2002032640
56:22.4,-21.663,-68.329,125.1,6.5,Mw,486,,,0.98,NEI,2002032840
52:50.5,24.279,122.179,32.8,7.1,Mw,550,,,0.96,NEI,2002033140
41:26.1,-60.94,154.25,10,6.2,Mw,50,,,1.24,NEI,2002040740
48:55.2,-51.068,139.269,10,6.2,Mw,169,,,1.13,NEI,2002040840
56:56.4,-14.392,167.687,10,6.2,Mw,339,,,1.12,NEI,2002041140
02:46.2,16.985,-100.865,24.9,6.8,Mw,292,,,1.13,NEI,2002041840
08:36.8,-27.535,-70.586,62,6.7,Mw,462,,,1.09,NEI,2002041840
59:57.9,-16.382,173.259,33,6,Mw,368,,,0.96,NEI,2002042040
00:00.9,-56.135,-122.312,10,6.2,Mw,105,,,1.26,NEI,2002042440
06:07.0,13.088,144.619,85.7,7.1,Mw,257,,,1.04,NEI,2002042640
26:00.4,-17.948,-174.573,130.8,6.2,Mw,303,,,0.87,NEI,2002050840
56:10.4,-36.518,78.932,10,6.2,Mw,67,,,1.37,NEI,2002051440
46:05.8,24.636,121.922,10,6.2,Mw,335,,,0.98,NEI,2002051540
52:15.3,-30.749,-71.197,52.1,6,Mw,234,,,0.95,NEI,2002052340
36:32.0,53.815,-161.116,33,6.4,Mw,307,,,1.29,NEI,2002052540
04:22.5,-28.937,-66.797,22.2,6,Mw,354,,,0.98,NEI,2002052840
45:17.1,24.069,122.264,33,6.1,Mw,305,,,1,NEI,2002052840
53:48.5,-0.879,148.33,10,6.3,Mw,169,,,1.22,NEI,2002060640
48:36.2,10.985,140.69,33,6.1,Mw,253,,,1.17,NEI,2002061040
27:19.5,-47.801,99.751,10,6.6,Mw,153,,,1.08,NEI,2002061340
46:14.0,8.784,-83.992,35,6.4,Mw,424,,,1.08,NEI,2002061640
25:56.4,-4.651,-105.379,10,6,Mw,132,,,1.21,NEI,2002061740
26:22.9,-12.592,166.383,33,6.7,Mw,272,,,1.14,NEI,2002061740
56:22.8,-30.805,-71.124,54,6.6,Mw,420,,,1.02,NEI,2002061840
05:44.8,-4.495,146.768,33,6,Mw,331,,,0.76,NEI,2002062140
